market,symbol,earliest_date,available_intervals,base_symbol
spot,ILVUSDT,2021-09-22,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",ILV
spot,DFUSDT,2021-09-24,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",DF
spot,SYSUSDT,2021-09-24,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",SYS
spot,YGGUSDT,2021-09-24,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",YGG
spot,FIDAUSDT,2021-09-30,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",FIDA
spot,AGLDUSDT,2021-10-05,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",AGLD
spot,RADUSDT,2021-10-07,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",RAD
spot,RAREUSDT,2021-10-11,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",RARE
spot,CHESSUSDT,2021-10-22,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",CHESS
spot,AUCTIONUSDT,2021-10-29,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",AUCTION
spot,MOVRUSDT,2021-11-08,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",MOVR
spot,ENSUSDT,2021-11-10,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",ENS
spot,POWRUSDT,2021-11-17,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",POWR
spot,JASMYUSDT,2021-11-22,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",JASMY
spot,SANTOSUSDT,2021-12-01,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",SANTOS
spot,BICOUSDT,2021-12-09,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",BICO
spot,FLUXUSDT,2021-12-10,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",FLUX
spot,FXSUSDT,2021-12-10,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",FXS
spot,VOXELUSDT,2021-12-14,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",VOXEL
